id;category;title;Заголовок;"Meta keywords";"Meta description";price;"Старая цена";sku;Наличие;"Бесплатная доставка";video;Акция;Новинка;Актуально;"Хит продаж";"Это популярно";url_old;brand
8029;"Автокресла (Группа 0+)";"Huggy Multifix";"Huggy Multifix цена, купить, отзывы.";"Huggy Multifix купить в Днепропетровске, цена, описание, фото. Huggy Multifix обзоры, статьи, Babysmile.";"Huggy Multifix - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1300;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/Avtokreslo_Huggy_Multifix;Inglesina
11162;"Автокресла (Группа 0+)";"Maxi-Cosi Cabrio Fix 2012";"Maxi-Cosi Cabrio Fix 2012 цена, купить, отзывы.";"Maxi-Cosi Cabrio Fix 2012 купить в Днепропетровске, цена, описание, фото. Maxi-Cosi Cabrio Fix 2012 обзоры, статьи, Babysmile.";"Maxi-Cosi Cabrio Fix 2012 - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1815;0;;1;1;http://www.youtube.com/embed/vO51Ev2c2Ok;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/avtokreslo-maxi-cosi-cabrio-fix-2012-11162;Maxi-Cosi
11176;"Автокресла (Группа 0+)";"Maxi-Cosi Pebble 2012";"Maxi-Cosi Pebble 2012 цена, купить, отзывы.";"Maxi-Cosi Pebble 2012 купить в Днепропетровске, цена, описание, фото. Maxi-Cosi Pebble 2012 обзоры, статьи, Babysmile.";"Maxi-Cosi Pebble 2012 - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";2330;0;;1;1;http://www.youtube.com/embed/kVvL6nh95FA;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/avtokreslo-maxi-cosi-pebble-2012-11176;Maxi-Cosi
8895;"Автокресла (Группа 0+)";"Navington X-Car";"Navington X-Car цена, купить, отзывы.";"Navington X-Car купить в Днепропетровске, цена, описание, фото. Navington X-Car обзоры, статьи, Babysmile.";"Navington X-Car - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1485;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/Avtokreslo_Navington_X-Car;Navington
10565;"Автокресла (Группа 0+)";"Автокресло Primo Viaggio TRI-FIX 2012";"Автокресло Primo Viaggio TRI-FIX 2012 цена, купить, отзывы.";"Автокресло Primo Viaggio TRI-FIX 2012 купить в Днепропетровске, цена, описание, фото. Автокресло Primo Viaggio TRI-FIX 2012 обзоры, статьи, Babysmile.";"Автокресло Primo Viaggio TRI-FIX 2012 - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1950;2100;;1;1;http://www.youtube.com/embed/BFGb_-8Nbc4;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/avtokreslo-primo-viaggio-tri-fix-2012-10565;Peg-Perego
9872;"Автокресла (Группа 0+)";"Автокресло STM Twin 0+  2012";"Автокресло STM Twin 0+  2012 цена, купить, отзывы.";"Автокресло STM Twin 0+  2012 купить в Днепропетровске, цена, описание, фото. Автокресло STM Twin 0+  2012 обзоры, статьи, Babysmile.";"Автокресло STM Twin 0+  2012 - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1850;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/stm-twin-2012;STM
9756;"Автокресла (Группа 0+)";"Автокресло Young Profi Plus 2012";"Автокресло Young Profi Plus 2012 цена, купить, отзывы.";"Автокресло Young Profi Plus 2012 купить в Днепропетровске, цена, описание, фото. Автокресло Young Profi Plus 2012 обзоры, статьи, Babysmile.";"Автокресло Young Profi Plus 2012 - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";2380;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/Recaro-Young-Profi-Plus-2012;Recaro
8847;"Автокресла (Группа 0+)";"Автокресло Х-Lander  X-CAR";"Автокресло Х-Lander  X-CAR цена, купить, отзывы.";"Автокресло Х-Lander  X-CAR купить в Днепропетровске, цена, описание, фото. Автокресло Х-Lander  X-CAR обзоры, статьи, Babysmile.";"Автокресло Х-Lander  X-CAR - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1485;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/Avtomobilnoe_kreslo_X-CAR;X-lander
10232;"Автокресла (Группа 0+)";"Автокресло Х-Lander X-CAR 2012";"Автокресло Х-Lander X-CAR 2012 цена, купить, отзывы.";"Автокресло Х-Lander X-CAR 2012 купить в Днепропетровске, цена, описание, фото. Автокресло Х-Lander X-CAR 2012 обзоры, статьи, Babysmile.";"Автокресло Х-Lander X-CAR 2012 - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1500;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/avtokreslo-x-lander-x-car-2012;X-lander
418;"Автокресла (Группа 0+)";"Люлька-автокресло Bebe Confort Creatis Fix";"Люлька-автокресло Bebe Confort Creatis Fix цена, купить, отзывы.";"Люлька-автокресло Bebe Confort Creatis Fix купить в Днепропетровске, цена, описание, фото. Люлька-автокресло Bebe Confort Creatis Fix обзоры, статьи, Babysmile.";"Люлька-автокресло Bebe Confort Creatis Fix - Характеристики. Отзывы. Лучшая цена. Тел: (056)788-23-83 Бесплатная доставка, Babysmile, Украина, Днепропетровск";1410;0;;1;1;;0;0;0;0;0;http://bbsmile.com.ua/catalog/detskie-avtokresla/Avtokreslo-Gruppa-0/lyulka-avtokreslo-bebe-confort-creatis-fix-418;"Bebe Confort"
